Spanish,English,Extra
"Aprecio mucho lo que haces por mí","I really appreciate what you do for me","Example: Aprecio mucho lo que haces por mí, siempre estás ahí cuando te necesito → I really appreciate what you do for me, you're always there when I need you | Context: Expressing gratitude to a romantic partner; shows emotional depth and appreciation"
"Contigo hasta un paseo por TransMilenio","With you even a TransMilenio ride is nice","Example: Contigo hasta un paseo por TransMilenio es agradable → With you even a TransMilenio ride is nice | Context: TransMilenio is Bogotá's notoriously crowded bus system; saying this means anything is enjoyable with them, even something typically unpleasant"
"Contigo me siento en casa","With you I feel at home","Example: Contigo me siento en casa, no importa dónde estemos → With you I feel at home, no matter where we are | Context: Expresses deep comfort and belonging with the person; very romantic and meaningful"
"Contigo todo es diferente","With you everything is different","Example: Contigo todo es diferente, me haces ver la vida de otra manera → With you everything is different, you make me see life in another way | Context: Expresses how the person changes your perspective positively"
"Cuídate mucho preciosa","Take good care of yourself, beautiful","Example: Cuídate mucho preciosa, nos vemos pronto → Take good care of yourself beautiful, see you soon | Context: Affectionate farewell; 'preciosa' is a common term of endearment in Colombian Spanish"
"Envejezcamos juntos","Let's grow old together","Example: Quiero envejezcamos juntos y vivamos muchas aventuras → I want us to grow old together and live many adventures | Context: Deep commitment expression; very romantic declaration about long-term future together"
"Eres mi debilidad","You are my weakness","Example: Eres mi debilidad, no puedo decirte que no → You are my weakness, I can't say no to you | Context: Playful admission of being unable to resist the person; shows vulnerability in romance"
"Espero que tengas un día hermoso","I hope you have a beautiful day","Example: Espero que tengas un día hermoso, piensa en mí → I hope you have a beautiful day, think of me | Context: Sweet morning or farewell message; caring and affectionate"
"Estar contigo es una nota","Being with you is amazing","Example: Estar contigo es una nota, siempre la paso bien → Being with you is amazing, I always have a good time | Context: 'Una nota' is Colombian slang for something excellent/amazing; very casual and affectionate"
"Hermosa","Beautiful","Example: Buenos días hermosa, ¿cómo dormiste? → Good morning beautiful, how did you sleep? | Context: Common term of endearment; can be used as greeting or to address a romantic partner"
"Me alegra mucho estar contigo","I'm so happy to be with you","Example: Me alegra mucho estar contigo en este momento → I'm so happy to be with you right now | Context: Expresses joy and contentment in the relationship; heartfelt and sincere"
"Me alegra terminar el día contigo","I'm happy to end the day with you","Example: Me alegra terminar el día contigo, has sido lo mejor de hoy → I'm happy to end the day with you, you've been the best part of today | Context: Evening message expressing appreciation; romantic bedtime sentiment"
"Me encanta terminar el día contigo","I love ending the day with you","Example: Me encanta terminar el día contigo, hablando de todo → I love ending the day with you, talking about everything | Context: Stronger than 'me alegra'; shows deep appreciation for their presence at day's end"
"Me encantó pasar tiempo contigo","I loved spending time with you","Example: Me encantó pasar tiempo contigo hoy, estuvo muy lindo → I loved spending time with you today, it was very nice | Context: Said after a date or time together; warm and appreciative"
"Me hace feliz hablar contigo siempre que","It makes me happy to talk with you whenever","Example: Me hace feliz hablar contigo siempre que puedo → It makes me happy to talk with you whenever I can | Context: Expresses joy in communication; shows they value conversation together"
"Me siento tranquilo contigo","I feel calm/at peace with you","Example: Me siento tranquilo contigo, no tengo que fingir nada → I feel calm with you, I don't have to pretend anything | Context: Expresses comfort and authenticity in the relationship; 'todo bien' = all good/no worries"
"Mi vida","My life (term of endearment)","Example: Hola mi vida, ¿cómo estás? → Hi my life, how are you? | Context: Very common romantic term of endearment in Colombia; equivalent to 'my love' or 'sweetheart'"
"Pienso en ti desde que me desperté","I've been thinking of you since I woke up","Example: Pienso en ti desde que me desperté esta mañana → I've been thinking of you since I woke up this morning | Context: Sweet morning message; shows they're the first thought of the day"
"Pienso en ti todo el día","I think about you all day","Example: Pienso en ti todo el día, no puedo concentrarme en nada más → I think about you all day, I can't concentrate on anything else | Context: Expresses constant preoccupation with the person; romantic and intense"
"Preciosa","Beautiful/Precious","Example: Preciosa, ¿quieres ir a tomar algo? → Beautiful, do you want to go get something? | Context: Common term of endearment; can be used to address partner or as compliment"
"Que tengas una noche linda","Have a beautiful night","Example: Que tengas una noche linda y descanses bien → Have a beautiful night and rest well | Context: Evening farewell; sweet and caring bedtime wish"
"Qué rico compartir este momento contigo","How nice to share this moment with you","Example: Qué rico compartir este momento contigo, me siento muy feliz → How nice to share this moment with you, I feel very happy | Context: 'Rico' in Colombian Spanish means nice/pleasant; expresses appreciation for shared experience"
"Te sientes bien","You feel good","Example: ¿Te sientes bien? Te ves un poco cansada → Do you feel good? You look a bit tired | Context: Can be a question asking if they're okay, or statement that they feel good to you"
"Tienes unos labios hermosos","You have beautiful lips","Example: Tienes unos labios hermosos, me encanta besarte → You have beautiful lips, I love kissing you | Context: Flirtatious compliment; physical admiration in romantic context"
"Tú me importas mucho","You matter a lot to me","Example: Tú me importas mucho, quiero que lo sepas → You matter a lot to me, I want you to know that | Context: Expresses deep care and significance of the person; intimate and meaningful; informal/intimate register"
"911 necesito un beso","911 I need a kiss","Example: 911 necesito un beso urgente, ya llegaste? → 911 I need a kiss urgently, have you arrived yet? | Context: Playful emergency language | Very romantic/flirty; makes needing a kiss seem like an emergency"
"Amor de mi vida","Love of my life","Example: Amor de mi vida, no sé qué haría sin vos → Love of my life, I don't know what I'd do without you | Context: Deep romantic term of endearment; expresses that they are your greatest love"
"Crees en el amor a primera vista o paso","Do you believe in love at first sight, or should I walk by again?","Example: Crees en el amor a primera vista o paso de nuevo? → Do you believe in love at first sight, or should I walk by again? | Context: Classic pickup line; playful and flirtatious; used to break the ice"
"Cómo amaneció mi amor","How did you wake up my love","Example: Hola, ¿cómo amaneció mi amor? → Hi, how did you wake up my love? | Context: Morning greeting for romantic partner; 'amaneció' is typical Colombian way to ask how someone woke up"
"Dame un abrazo","Give me a hug","Example: Dame un abrazo que lo necesito → Give me a hug, I need it | Context: Request for physical affection; can be playful or earnest"
"Dame un beso","Give me a kiss","Example: Dame un beso antes de irte → Give me a kiss before you go | Context: Request for physical affection; casual and direct"
"Duerme rico mi amor","Sleep well my love","Example: Duerme rico mi amor, nos vemos mañana → Sleep well my love, see you tomorrow | Context: 'Rico' = well/sweetly in Colombian Spanish | Bedtime endearment; very Colombian way to say goodnight"
"Eres mi amor","You are my love","Example: Eres mi amor, la persona más importante para mí → You are my love, the most important person to me | Context: Direct declaration of affection; expresses they are your love"
"Hagamos el amor","Let's make love","Example: Quiero que hagamos el amor esta noche → I want us to make love tonight | Context: Intimate/sexual | Very intimate register; direct expression of sexual desire"
"Hasta mañana mi amorcito","See you tomorrow my little love","Example: Hasta mañana mi amorcito, que duermas bien → See you tomorrow my little love, sleep well | Context: Evening farewell; 'amorcito' is diminutive of amor, very affectionate"
"Ojalá te sientas mejor mi amor","I hope you feel better my love","Example: Ojalá te sientas mejor mi amor, descansa mucho → I hope you feel better my love, rest a lot | Context: Caring message when partner is unwell; shows concern and affection"
"Si el amor fuera agua yo te daría el mar","If love were water, I would give you the sea","Example: Si el amor fuera agua yo te daría el mar entero → If love were water, I would give you the entire sea | Context: Poetic romantic expression; shows boundless love through metaphor"
"Siempre serás mi amor","You will always be my love","Example: Siempre serás mi amor, no importa lo que pase → You will always be my love, no matter what happens | Context: Declaration of eternal love; commitment and deep affection"
"Solo abrazos hoy","Just hugs today","Example: Solo abrazos hoy, no quiero separarme de vos → Just hugs today, I don't want to separate from you | Context: Playful declaration that you want physical closeness; can mean wanting only affection or many hugs"
"Te amo","I love you","Example: Te amo con todo mi corazón → I love you with all my heart | Context: Direct love declaration; the strongest way to express love in Spanish"
"Te extraño","I miss you","Example: Te extraño mucho cuando no estás → I miss you a lot when you're not here | Context: Expression of longing; used when apart from romantic partner"
"Te extraño mucho","I miss you a lot","Example: Te extraño mucho, ven pronto → I miss you a lot, come soon | Context: Emphasizes the intensity of missing someone; stronger than just 'te extraño'"
"Te extraño un resto","I miss you a ton","Example: Te extraño un resto, cuándo nos vemos? → I miss you a ton, when do we see each other? | Context: 'Un resto' = a lot (Medellín slang); very casual and expressive way to say you miss them intensely"
"Tus besos me vuelven loco/loca","Your kisses drive me crazy","Example: Tus besos me vuelven loco, no puedo pensar en otra cosa → Your kisses drive me crazy, I can't think of anything else | Context: Expresses passion and desire; shows intense physical attraction"
"Un beso hablamos después","A kiss, we'll talk later","Example: Un beso hablamos después, tengo que irme → A kiss, we'll talk later, I have to go | Context: Quick farewell when in a hurry; combines affection with promise to reconnect"
"Me gustás","I like you (romantic)","Example: Me gustás mucho, ¿querés salir conmigo? → I like you a lot, do you want to go out with me? | Context: Romantic interest declaration; 'gustás' is vos conjugation; different from 'me caés bien' which is platonic"
"¿Salimos algún día?","Should we go out sometime?","Example: ¿Salimos algún día? Me gustaría conocerte mejor → Should we go out sometime? I'd like to get to know you better | Context: Casual way to ask someone on a date; not too forward; alternative: ¿Tomamos algo?"
"Sos linda/lindo","You're pretty/handsome (vos form)","Example: Sos linda, me encanta tu sonrisa → You're pretty, I love your smile | Context: Compliment using vos conjugation; common in Colombian regions; alternative: Sos muy bonita/bonito"
"Me parece que sos chistoso/a","I think you're funny (vos form)","Example: Me parece que sos muy chistoso, me hacés reír mucho → I think you're very funny, you make me laugh a lot | Context: Compliment about personality; using vos form; shows appreciation for their humor"
"¿Tenés novio/novia?","Do you have a boyfriend/girlfriend?","Example: ¿Tenés novio? Es que me gustaría invitarte a salir → Do you have a boyfriend? It's just that I'd like to ask you out | Context: Direct question to check relationship status; alternative: ¿Estás con alguien?"
"Estoy soltero/a","I'm single","Example: Estoy soltero desde hace unos meses → I'm single for a few months now | Context: Stating relationship status; alternative: No tengo pareja"
"¿Te gustaría salir?","Would you like to go out?","Example: ¿Te gustaría salir conmigo el fin de semana? → Would you like to go out with me this weekend? | Context: Asking someone on a date; polite and direct; alternative with vos: ¿Querés que salgamos?"
"Me caés muy bien","I really like you (as a person)","Example: Me caés muy bien, sos muy buena gente → I really like you as a person, you're very good people | Context: Platonic liking; different from romantic 'me gustás'; shows friendly affection that could develop"
"Sos muy simpático/a","You're very nice (vos form)","Example: Sos muy simpático, me gusta hablar con vos → You're very nice, I like talking with you | Context: Personality compliment using vos; 'simpático' means likeable/pleasant"
"¿Puedo invitarte a algo?","Can I buy you something?","Example: ¿Puedo invitarte a algo? ¿Un café tal vez? → Can I buy you something? A coffee maybe? | Context: Polite offer to treat someone; classic date opening; alternative with vos: ¿Te invito algo?"
"Me encanta hablar con vos","I love talking with you (vos form)","Example: Me encanta hablar con vos, siempre es interesante → I love talking with you, it's always interesting | Context: Shows appreciation for conversation; using vos form; romantic interest indicator"
"¿Me pasás tu número?","Can you give me your number? (vos form)","Example: ¿Me pasás tu número para seguir hablando? → Can you give me your number so we can keep talking? | Context: Asking for contact information; vos conjugation; alternative: ¿Me regalás tu número?"
"Estás muy bonita hoy","You look very pretty today","Example: Estás muy bonita hoy, ese vestido te queda bien → You look very pretty today, that dress looks good on you | Context: Compliment about current appearance; alternative: Te ves linda"
"¿Vos tenés WhatsApp?","Do you have WhatsApp? (vos form)","Example: ¿Vos tenés WhatsApp? Para agregarte → Do you have WhatsApp? To add you | Context: Modern way to ask for contact info; WhatsApp is primary messaging app in Colombia"
"Me gusta tu estilo","I like your style","Example: Me gusta tu estilo, sos muy auténtico/a → I like your style, you're very authentic | Context: Compliment about their way of being/dressing; shows attraction to their personality or appearance"
"Sos muy inteligente","You're very intelligent (vos form)","Example: Sos muy inteligente, me impresiona cómo pensás → You're very intelligent, I'm impressed by how you think | Context: Intellectual compliment; using vos; shows appreciation beyond physical attraction"
"¿Querés tomar algo?","Do you want to get a drink?","Example: ¿Querés tomar algo después del trabajo? → Do you want to get a drink after work? | Context: Casual invitation for a date; vos form; alternative: ¿Tomamos algo?"
"Me la paso bien con vos","I have a good time with you (vos form)","Example: Me la paso bien con vos, deberíamos vernos más seguido → I have a good time with you, we should see each other more often | Context: Expresses enjoyment of their company; 'me la paso' is Colombian/vos expression; alternative: La paso bien contigo"
"¿Cuándo nos vemos?","When do we see each other?","Example: ¿Cuándo nos vemos? Quiero verte pronto → When do we see each other? I want to see you soon | Context: Asking to make plans; shows eagerness to meet; alternative: ¿Cuándo salimos?"
"Me hiciste reír","You made me laugh","Example: Me hiciste reír mucho hoy, gracias → You made me laugh a lot today, thank you | Context: Shows appreciation for their humor; positive feedback in conversation; builds romantic connection"
